rec_idx,키워드,수집일시,등록일,날짜구분,기업명,공고제목,직무카테고리,근무지역,경력,학력,고용형태,마감일,공고링크
54462719,신입,2026-07-19 15:46:59,2026-07-14,등록일,(주)맨파워코리아,"#용인/2교대 1달or4달 계약직/셔틀,식사/코로나 키트 포장/상여","패킹(포장), ,, 포장, ,, 자동화라인, ,, 생산, ,, 품질관리, 외",경기 용인시 기흥구,경력무관,학력무관,,~07/29(수),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54462719
54259050,신입,2026-07-19 15:46:59,2026-06-23,등록일,(주)케이티아이에스,[8-17시/인천시외로움콜센터] 주간상담사 모집,"텔레마케터, ,, 콜통계/분석, ,, 노인복지, ,, 인바운드, ,, 콜센터/고객센터, 외",인천 남동구,경력3년↑,학력무관,계약직,채용시,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54259050
54353699,신입,2026-07-19 15:46:59,2026-07-15,수정일,(주)사람인에이치에스,[구리역/7시간 근무/업무환경우수] 볼보 전시장 리셉션 채용,"카페매니저, ,, 캐셔, ,, 커뮤니티매니저, ,, 안내데스크, ,, 총무, 외",경기 구리시,경력무관,학력무관,계약직,상시채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54353699
54379057,신입,2026-07-19 15:46:59,2026-07-16,수정일,(주)유니에스,[급구/주 5일]솔브레인 사업장 시설팀장 채용,"건물관리자, ,, 기전기사, ,, 영선, ,, 현장관리자, ,, 시설관리, 외",경기 성남시 분당구,경력무관,고졸↑,계약직,~07/22(수),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54379057
54489408,신입,2026-07-19 15:46:59,2026-07-16,등록일,(주)사람인에이치에스,[간단 업무/ 신입 가능] 벤츠 성동서비스센터 주중 발렛 급구,"배차관리, ,, 택시기사, ,, 사택기사, ,, 수행기사, ,, 주유소, 외",서울 성동구,경력무관,학력무관,계약직,상시채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54489408
54476322,신입,2026-07-19 15:46:59,2026-07-15,등록일,(주)맨파워그룹코리아,[인천/단기/중식제공/셔틀버스] 물류창고 입출고,"창고관리, ,, 화물차(카고), ,, 재고관리, ,, 수/발주, ,, 탑차, 외",인천전체,경력무관,학력무관,,~07/30(목),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54476322
54417700,신입,2026-07-19 15:46:59,2026-07-09,등록일,(주)유니에스,[신촌 세브란스병원] 수술실 멸균파트 채용 - 평일근무/신입가능,"중환자실, ,, 조제보조, ,, 수술보조, ,, 진료보조, ,, 간호조무사, 외",서울전체,경력무관,고졸↑,,~08/08(토),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54417700
54258077,신입,2026-07-19 15:46:59,2026-07-13,수정일,(주)아이비에스인더스트리,[워커힐카지노] F&B 주방보조 직원 모집 (주5일 7.5시간 근무),"카지노, ,, 주방보조, ,, 파견대행",서울 광진구,경력무관,학력무관,계약직,~07/23(목),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54258077
54223482,신입,2026-07-19 15:46:59,2026-07-06,수정일,글로벌JMT,[인천정규직] 자동차 부품 생산 제조 / 2조 2교대 / 3조2교대,"포장, ,, 장비/공구, ,, 생산, ,, 품질관리, ,, 수행비서, 외",인천 남동구,경력무관,학력무관,,오늘마감,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54223482
54313548,신입,2026-07-19 15:46:59,2026-06-29,등록일,(주)유니에스,[연세대학교 의료원] 학과 행정지원 사무보조 채용,"사무직, ,, 교육행정, ,, 경리사무원, ,, 서무, ,, 대학교, 외",서울전체,경력무관,초대졸↑,,~07/29(수),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54313548
