job_id,키워드,수집일시,등록일,기업명,공고제목,직무카테고리,근무지역,경력,학력,마감일,공고링크
6232492,신입,2026-07-20 01:20:09,2026-07-01,GFI Korea 외국환중개,[GFI 코리아] 자금시장 (MM) 브로커 채용,,서울,인턴.신입 / 사원,,채용시,https://www.peoplenjob.com/jobs/6232492
6232092,신입,2026-07-20 01:20:09,2026-07-01,MOWI,영업지원 Sales Coordinator - 신입~2년 이하,,서울 / 서울 중구 / 서울 종로구,인턴.신입,,07.31,https://www.peoplenjob.com/jobs/6232092
6231764,신입,2026-07-20 01:20:09,2026-06-30,샌드박스네트워크(Sandbox Network Inc.),[AD] 광고 사업 기획/운영 매니저(신입/경력),,서울 용산구,인턴.신입 / 사원,,07.29,https://www.peoplenjob.com/jobs/6231764
6231502,신입,2026-07-20 01:20:09,2026-06-30,Adapt,[전환형인턴] 글로벌 CX 담당자 (홍콩),,서울 강남,인턴.신입,,07.30,https://www.peoplenjob.com/jobs/6231502
6231614,신입,2026-07-20 01:20:09,2026-06-30,DAY1COMPANY,[패스트캠퍼스 B2B][신입/주니어] 공공 AX 교육 컨설턴트,,서울 강남,인턴.신입 / 사원,,채용시,https://www.peoplenjob.com/jobs/6231614
6230922,신입,2026-07-20 01:20:09,2026-06-29,Burson Group,Burson 국내/해외 PR 6개월 채용 전환형 인턴 모집,,서울 종로구,인턴.신입,,07.29,https://www.peoplenjob.com/jobs/6230922
6230793,신입,2026-07-20 01:20:09,2026-06-29,유엘코리아 주식회사,(서울 역삼) ESS 배터리 시스템 안전인증 엔지니어 채용,,서울 강남,인턴.신입 / 사원 / 대리.과장,,07.29,https://www.peoplenjob.com/jobs/6230793
6230787,신입,2026-07-20 01:20:09,2026-06-29,유엘코리아 주식회사,(서울 역삼) 전력/전기분야 안전인증 엔지니어 채용,,서울 강남,인턴.신입 / 사원 / 대리.과장,,채용시,https://www.peoplenjob.com/jobs/6230787
6230785,신입,2026-07-20 01:20:09,2026-06-29,유엘코리아 주식회사,(경기 평택)  Automotive EMC 시험엔지니어 채용,,경기 평택,인턴.신입 / 사원 / 대리.과장,,채용시,https://www.peoplenjob.com/jobs/6230785
6230626,신입,2026-07-20 01:20:09,2026-06-29,더하이어코리아 주식회사,[부산중앙역 / 외국계] 수출입 오퍼레이션 육아휴직대체 18개월,,부산 / 부산중앙역,인턴.신입 / 사원 / 대리.과장,,07.29,https://www.peoplenjob.com/jobs/6230626
