rec_idx,키워드,수집일시,등록일,날짜구분,기업명,공고제목,직무카테고리,근무지역,경력,학력,고용형태,마감일,공고링크,매칭타겟명
54483509,신입,2026-07-19 15:46:59,2026-07-16,수정일,JW홀딩스,[JW생명과학] 검체채취원 계약직 수시채용,시료채취,충남 당진시,신입,고졸↑,계약직,~07/26(일),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54483509,JW홀딩스
54277302,신입,2026-07-19 15:46:59,2026-06-25,등록일,(주)한화,한화 안성 데이터센터 현장  보건관리자  채용,"보건관리자, ,, 건설회사",경기 안성시,경력무관,초대졸↑,계약직,~07/25(토),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54277302,㈜한화
54348619,신입,2026-07-19 15:46:59,2026-07-02,등록일,(주)연우,HK 연우 - 펌프팀 생산직 단기 계약직 모집(2개월),"단순생산직, ,, 기타제조업",인천 서구,경력무관,학력무관,,~08/01(토),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54348619,연우
54449534,신입,2026-07-19 15:46:59,2026-07-13,등록일,(주)씨앤씨인터내셔널,[서울/화장품ODM제조사] 영상편집 및 사무보조 (계약직),"영상디자인, ,, 사무보조, ,, 영상편집, ,, 화장품",서울 강남구,경력무관,고졸↑,계약직,~08/12(수),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54449534,씨앤씨인터내셔널
54477136,신입,2026-07-19 15:46:59,2026-07-15,등록일,(주)케이씨씨건설,[KCC건설] 인천계양 A17BL 아파트 건설공사 6공구 현장 토목직,"부대토목, ,, 토목설계, ,, 토목기술자, ,, 토목공학, ,, 토목공사, 외",인천 계양구,경력무관,초대졸↑,,~08/14(금),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54477136,케이씨
54243144,신입,2026-07-19 15:46:59,2026-06-22,등록일,(주)케이티엠앤에스,KT plaza 명지대사거리점에서 함께 일하실  정직원을 찾습니다.,"영업, ,, 매장관리, ,, 핸드폰판매, ,, 판매직, ,, CS, 외",서울 서대문구,경력무관,고졸↑,정규직,~07/22(수),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54243144,케이티
54385941,신입,2026-07-19 15:46:59,2026-07-06,등록일,(주)달바글로벌,[d'Alba Global] CS 고객만족팀 경력,"채널관리, ,, 배송상담, ,, 인바운드, ,, 콜센터/고객센터, ,, 고객관리, 외",서울 마포구,경력,학력무관,계약직,~09/04(금),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54385941,달바글로벌
54390496,신입,2026-07-19 15:46:59,2026-07-07,등록일,(주)케이티엠앤에스,[KT본사] KT플라자 경력무관 하반기 채용 공고 (강서지역),"핸드폰영업, ,, 매장매니저, ,, 상담원, ,, 고객관리, ,, 고객응대, 외",서울 강서구,경력무관,고졸↑,정규직,~08/06(목),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54390496,케이티
54472651,신입,2026-07-19 15:46:59,2026-07-15,등록일,로체시스템즈(주),로체시스템즈(주) 공무(산업안전 담당자) 채용,"소방/방재, ,, LED·AMOLED",경기 용인시 처인구,경력무관,고졸↑,정규직,~07/31(금),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54472651,로체시스템즈
54447819,신입,2026-07-19 15:46:59,2026-07-13,수정일,(주)포스코와이드,[포스코와이드] 잭니클라우스 골프클럽 코리아 신입/경력 채용,"부주방장, ,, 주방, ,, 시설관리, ,, 고객안내, ,, 조리사, 외",인천 연수구,신입·경력,학력무관,,~07/21(화),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54447819,포스코와이드
54398190,신입,2026-07-19 15:46:59,2026-07-07,수정일,(주)케이티엠앤에스,(주)케이티엠앤에스 KT플라자경력무관 채용,"통신기기판매, ,, 가전·오디오판매",서울 양천구,경력무관,고졸↑,정규직,~08/06(목),https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54398190,케이티
54426829,신입,2026-07-19 15:46:59,2026-07-10,등록일,금호건설(주),[금호건설(주)]서울도시철도 청라7호선 토목공사 안전관리자,"안전관리자, ,, 현장관리자, ,, 건설관리, ,, 조경공사, ,, 1군건설",인천 서구,경력무관,초대졸↑,,채용시,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54426829,금호건설
